,address,data,fidelity,valid_portion,select
0,00,0000,0.8193715096355668,0.6945634977055993,True
146,00,0010,0.6950961728928132,1.0,False
147,00,0011,0.7148110959565172,1.0,False
148,00,0100,0.7118789695561084,1.0,False
149,00,0101,0.728904247888596,1.0,False
150,00,0110,0.6890282319419454,1.0,False
151,00,0111,0.7012829762860076,1.0,False
152,00,1000,0.6807456713595733,1.0,False
153,00,1001,0.7059524092217616,1.0,False
154,00,1010,0.7071685497951881,1.0,False
155,00,1011,0.7071115037295552,1.0,False
156,00,1100,0.6733730621294961,1.0,False
157,00,1101,0.6818255287160991,1.0,False
158,00,1110,0.7038128331447366,1.0,False
159,00,1111,0.706898321967512,1.0,False
145,00,0001,0.7151264973669255,1.0,False
144,00,0000,0.7372593127957313,1.0,False
14,00,1110,0.7796079366717401,0.670558923852852,True
1,00,0001,0.8022028728924162,0.6653478701206895,True
2,00,0010,0.7860446353981595,0.6777474847802297,True
3,00,0011,0.7905469596717619,0.7021193228889032,True
4,00,0100,0.7961830810342809,0.681227987490703,True
5,00,0101,0.8008463773470313,0.6847156457593702,True
15,00,1111,0.7717964929040936,0.6559758430429106,True
6,00,0110,0.7737924596424403,0.6744079993771156,True
7,00,0111,0.7799302285278814,0.6914623783595861,True
8,00,1000,0.7572189324802505,0.6443310245760548,True
9,00,1001,0.7650224590988981,0.6563962284693136,True
10,00,1010,0.7630008495746653,0.6408772397820693,True
11,00,1011,0.777367076131928,0.6521199604747729,True
12,00,1100,0.7741602351962203,0.6482433604314355,True
13,00,1101,0.7485220033540952,0.6694343496879831,True
173,01,1101,0.721485319145614,1.0,False
160,01,0000,0.7115181228214575,1.0,False
161,01,0001,0.7329154497952877,1.0,False
162,01,0010,0.7112423525179227,1.0,False
163,01,0011,0.71075773533466,1.0,False
164,01,0100,0.7154046331308617,1.0,False
165,01,0101,0.696477987278109,1.0,False
166,01,0110,0.7088364051719219,1.0,False
168,01,1000,0.7033578009257043,1.0,False
169,01,1001,0.7324168171588867,1.0,False
170,01,1010,0.7150056496140267,1.0,False
171,01,1011,0.6941381807072518,1.0,False
172,01,1100,0.667357415205962,1.0,False
174,01,1110,0.7042124006604032,1.0,False
167,01,0111,0.6638204566629315,1.0,False
175,01,1111,0.7137832870896873,1.0,False
30,01,1110,0.7906408020664261,0.6704822198722872,True
17,01,0001,0.8319047424189009,0.7034937839775928,True
18,01,0010,0.803048605540497,0.6848813338491857,True
19,01,0011,0.8077979096128923,0.6999748979917932,True
20,01,0100,0.8211033434616274,0.6997037674211014,True
21,01,0101,0.7956670927546088,0.6872479772717396,True
22,01,0110,0.8138383605742898,0.6532281019207568,True
23,01,0111,0.738139616951059,0.6785237841932993,True
24,01,1000,0.7863754161476513,0.6551365230662745,True
25,01,1001,0.8163047403836559,0.6696764532693309,True
26,01,1010,0.8188733516491377,0.6452187793028231,True
27,01,1011,0.8023058023358006,0.676656879264573,True
28,01,1100,0.7604023307604117,0.6793083472616612,True
29,01,1101,0.8235076789193595,0.6853041832456591,True
31,01,1111,0.8277844753381605,0.6697544825242523,True
16,01,0000,0.8094639353908305,0.6848892568857592,True
177,10,0001,0.7078768215932175,1.0,False
33,10,0001,0.7932211489533159,0.6614075652564718,True
34,10,0010,0.7825888820465352,0.667382049860206,True
35,10,0011,0.769720903616534,0.6775164533891548,True
36,10,0100,0.7913136798118313,0.6953483148750013,True
37,10,0101,0.8120916584772112,0.6878707499602463,True
38,10,0110,0.767691944851188,0.6754445810539169,True
39,10,0111,0.7842500057400913,0.6819550299966554,True
40,10,1000,0.8093494428230158,0.6906286622249662,True
41,10,1001,0.8009291619378821,0.6906197847014056,True
42,10,1010,0.7904631430037976,0.6969956169354066,True
43,10,1011,0.770958192826832,0.686339304904314,True
44,10,1100,0.800819728098179,0.6891004819851936,True
32,10,0000,0.8107750409227338,0.6716629897810468,True
176,10,0000,0.7180861135869775,1.0,False
46,10,1110,0.7686119050318599,0.67556595651999,True
178,10,0010,0.6877645772390153,1.0,False
45,10,1101,0.8216936067482067,0.6967737746939945,True
191,10,1111,0.7065809854667269,1.0,False
190,10,1110,0.6947523173640461,1.0,False
47,10,1111,0.7886017245705698,0.6875975558558931,True
188,10,1100,0.6985858579368847,1.0,False
187,10,1011,0.7070548348472262,1.0,False
186,10,1010,0.7093316126321073,1.0,False
189,10,1101,0.7064671786766638,1.0,False
184,10,1000,0.700277486677352,1.0,False
183,10,0111,0.6987953029674382,1.0,False
182,10,0110,0.6921280509158555,1.0,False
181,10,0101,0.7190886469762641,1.0,False
180,10,0100,0.7073330583728255,1.0,False
179,10,0011,0.6932856119243314,1.0,False
185,10,1001,0.6830484080018226,1.0,False
207,11,1111,0.6858012078440902,1.0,False
206,11,1110,0.6476448794752643,1.0,False
205,11,1101,0.6816422264760675,1.0,False
204,11,1100,0.7099599549538914,1.0,False
203,11,1011,0.7132603567485685,1.0,False
202,11,1010,0.6856596196160983,1.0,False
201,11,1001,0.6682541897044356,1.0,False
193,11,0001,0.6853252933675106,1.0,False
198,11,0110,0.6727188129562657,1.0,False
197,11,0101,0.6897508018756869,1.0,False
196,11,0100,0.6991403683365055,1.0,False
195,11,0011,0.6693756801036197,1.0,False
194,11,0010,0.7081093774369551,1.0,False
192,11,0000,0.7008579339122514,1.0,False
200,11,1000,0.6993236435428661,1.0,False
48,11,0000,0.8406100232851412,0.6267231375319839,True
199,11,0111,0.6762740373035285,1.0,False
55,11,0111,0.8247936408293542,0.6261705456166314,True
57,11,1001,0.7991622030889586,0.6327732041990549,True
56,11,1000,0.839708142724382,0.6401310748449694,True
60,11,1100,0.8667913688618402,0.6287379261533335,True
54,11,0110,0.8181980357321079,0.6206099920201025,True
53,11,0101,0.8290301234789937,0.6222619045705688,True
52,11,0100,0.8291132862050942,0.6352160883499757,True
51,11,0011,0.7989193490412887,0.6140809430244296,True
50,11,0010,0.8543551446508413,0.6245383156248557,True
49,11,0001,0.8318692789548409,0.6275944993507004,True
61,11,1101,0.8156865924482162,0.6071169246455089,True
62,11,1110,0.7902299406812127,0.6310719305719097,True
63,11,1111,0.8169898675101183,0.6497610427150408,True
59,11,1011,0.826847749535615,0.6412738618704429,True
58,11,1010,0.8367338075763684,0.6423640863839228,True
350,0+,1110,0.7179194296104606,0.7915431491798567,noresponesebranch
305,0+,0001,0.782215916057447,0.7802589538013686,responsebranch
306,0+,0010,0.789731080553296,0.807560580897755,responsebranch
307,0+,0011,0.803603003858842,0.7999517069387401,responsebranch
309,0+,0101,0.7516024314883601,0.7813647006577826,responsebranch
310,0+,0110,0.7616453240368624,0.7941459454782872,responsebranch
311,0+,0111,0.7511529941272398,0.8148649281955052,responsebranch
312,0+,1000,0.7614101555664624,0.8045278218322801,responsebranch
313,0+,1001,0.7871233878671504,0.8147018611140561,responsebranch
314,0+,1010,0.7849745155979916,0.8105833170888691,responsebranch
315,0+,1011,0.8067865754341085,0.8186804303325618,responsebranch
316,0+,1100,0.78650855250783,0.8150815934946521,responsebranch
304,0+,0000,0.7970697970083505,0.7904573281838324,responsebranch
351,0+,1111,0.7176671878972634,0.8141364186825706,noresponesebranch
255,0+,1111,0.6786937537420461,1.0,False
240,0+,0000,0.6777545479123461,1.0,False
241,0+,0001,0.6529754992448322,1.0,False
242,0+,0010,0.6718637083758094,1.0,False
243,0+,0011,0.6792764348159742,1.0,False
244,0+,0100,0.634654223981303,1.0,False
245,0+,0101,0.6221131160671078,1.0,False
246,0+,0110,0.6446222389548217,1.0,False
247,0+,0111,0.6502752352133783,1.0,False
